LGA,date,bau_mean,bau_lower80,bau_upper80,bau_lower95,bau_upper95
Isuikwato,2027-03-01,7943.733333579599,805.7361036207553,93669.4860162413,269.0739380438998,357832.9848192233
Isuikwato,2027-04-01,8618.028187543548,797.9552250789245,114296.00378807835,258.503720344429,466215.8445170418
Isuikwato,2027-05-01,9102.419302327295,780.8045805754883,132990.1725717322,246.59652116617747,572161.311757087
Isuikwato,2027-06-01,9814.811279032207,782.8021847657011,157394.8349645396,241.2138919762076,712989.8889729297
Isuikwato,2027-07-01,10330.350587070581,770.367525045462,181315.26445665874,232.44246071689446,863935.254310311
Isuikwato,2027-08-01,10951.474203775166,764.5277068622493,210107.45336975544,225.9889749699533,1052150.182990848
Isuikwato,2027-09-01,11572.617559164479,758.9815776145174,242208.65854696883,220.23517444405408,1273669.1157048326
Isuikwato,2027-10-01,12282.801633716184,757.2300653715333,280192.7585967134,215.69979912832463,1546199.5217479253
Isuikwato,2027-11-01,13032.703229545026,756.8792396293913,323600.8538960194,211.86508175412635,1872734.2029975816
Isuikwato,2027-12-01,13865.064748931733,759.6920852935618,374301.04278087174,209.09010816771888,2270265.428259613
Isuikwato,2028-01-01,14682.65135984377,761.0874055876338,430380.08056567295,206.23302801680634,2734508.78549171
Isuikwato,2028-02-01,15594.716629226317,766.109147289318,495774.44919379253,204.5071069616701,3297957.535975888
Isuikwato,2028-03-01,16560.38628383486,771.9462833432195,570552.5048291028,203.05497840232593,3971992.296811534
Isuikwato,2028-04-01,17590.003747757015,778.8869045582223,656282.9084323723,201.9285336486515,4779539.672966288
Obi Nwa,2026-05-01,2826.5999780066722,1706.7576238533375,4684.311046061173,1307.0259790176708,6122.264315427629
Obi Nwa,2026-06-01,2921.9368719028275,1622.0427597394978,5267.952895337032,1188.1082173334348,7199.776137652238
Obi Nwa,2026-07-01,3020.2850678377063,1557.723597883863,5865.501427452738,1097.719020726056,8341.000950520394
Obi Nwa,2026-08-01,3125.6160014279585,1508.0531273685751,6496.126092401406,1026.310663170928,9580.005830645281
Obi Nwa,2026-09-01,3238.12542509272,1470.2149369332187,7161.5467998530985,969.4202711376959,10920.489363434557
Obi Nwa,2026-10-01,3356.195856428687,1439.6833162918583,7868.842034752454,921.7713183395708,12382.93365000972
Obi Nwa,2026-11-01,3474.8274893341704,1412.32689552397,8613.19134512607,879.4558346951103,13968.350587213388
Obi Nwa,2026-12-01,3604.544132729849,1392.714817388588,9415.831424243754,844.9712361858699,15710.134935166074
Obi Nwa,2027-01-01,3713.725340258061,1364.0712275369099,10223.150392769183,806.3564867059183,17548.041653687174
Obi Nwa,2027-02-01,3870.0987606704807,1358.7273983485745,11169.821081828419,784.974884412067,19673.933858134173
Obi Nwa,2027-03-01,4009.6420060301316,1346.038902002419,12126.475204471662,760.0920322571731,21908.566507107804
Obi Nwa,2027-04-01,4162.274252672487,1337.5989102528042,13179.77319742175,738.8548252292925,24416.04258331347
Obi Nwa,2027-05-01,4313.595173861014,1328.923169845079,14272.540366207768,718.5079369260701,27075.084053770355
Obi Nwa,2027-06-01,4474.3314508559215,1323.0192221725194,15454.71790037168,700.6479161906104,30009.33027824531
