LGA,group,order,seasonal_order,rmse,mae,mase,aic,status
Ikwuano,U5,"(0, 1, 1)","(1, 0, 0, 12)",762.4468509024583,714.9968902541691,7.560104575777627,99.19733408200447,ok
Ikwuano,U5,"(1, 0, 1)","(1, 0, 0, 12)",416.31197297571345,357.4435532920019,3.7794718825482625,100.40764638099695,ok
Ikwuano,U5,"(1, 0, 0)","(1, 0, 0, 12)",534.6752425366066,466.5649015660199,4.9332794244358436,105.76825141407835,ok
Ikwuano,A5,"(0, 1, 1)","(0, 1, 1, 12)",3637.869299118331,3219.4839605643756,8.60882133983388,973.1571908527295,ok
Ikwuano,A5,"(1, 1, 0)","(0, 1, 1, 12)",3637.8687838796936,3219.496308978847,8.60885435919205,1052.0864098135667,ok
Ikwuano,A5,"(1, 1, 1)","(0, 1, 1, 12)",3637.8712657098777,3219.489016439873,8.60883485912126,990.1560783362379,ok
Ikwuano,A5,"(0, 1, 1)","(1, 0, 0, 12)",3637.844879986889,3219.4724628773492,8.608790595300084,111.98244980959669,ok
Ikwuano,A5,"(1, 0, 1)","(1, 0, 0, 12)",3646.974182011328,2821.4528283392815,7.544495830842386,113.00828210457772,ok
Ikwuano,A5,"(1, 0, 0)","(1, 0, 0, 12)",2248.9894715484866,1462.8016698675435,3.9114958750385544,120.37598507360275,ok
Isiala Ngwa North,PW,"(0, 1, 1)","(0, 1, 1, 12)",3724.7051106999306,3364.490409349832,11.554873905211066,1070.7187074794426,ok
Isiala Ngwa North,PW,"(1, 1, 0)","(0, 1, 1, 12)",3724.7055597705807,3364.4953164620765,11.554890758004898,1092.5839535352736,ok
Isiala Ngwa North,PW,"(1, 1, 1)","(0, 1, 1, 12)",3724.7004563706478,3364.489410954037,11.554870476359703,1092.1933105574417,ok
Isiala Ngwa North,PW,"(0, 1, 1)","(1, 0, 0, 12)",3724.693168883672,3364.4862455148973,11.554859605099672,109.76689004035731,ok
Isiala Ngwa North,PW,"(1, 0, 1)","(1, 0, 0, 12)",3017.0520891021956,2609.6166154589723,8.96236495392452,111.70892930550009,ok
Isiala Ngwa North,PW,"(1, 0, 0)","(1, 0, 0, 12)",2966.580786470138,2533.9360833170413,8.702450702557023,111.30995955257019,ok
Isiala Ngwa North,U5,"(0, 1, 1)","(0, 1, 1, 12)",1027.3275534417553,961.4166368583915,15.481749385803406,925.9577967410415,ok
Isiala Ngwa North,U5,"(1, 1, 0)","(0, 1, 1, 12)",1027.3275604460546,961.416666583155,15.481749864463044,929.9781898192848,ok
Isiala Ngwa North,U5,"(1, 1, 1)","(0, 1, 1, 12)",1027.3252556277532,961.4139739990623,15.48170650562097,970.6377884393157,ok
Isiala Ngwa North,U5,"(0, 1, 1)","(1, 0, 0, 12)",1027.326733659122,961.4159439321965,15.4817382275716,109.42449475637997,ok
Isiala Ngwa North,U5,"(1, 0, 1)","(1, 0, 0, 12)",905.187670232136,831.1618146414609,13.384248222889868,111.280417987754,ok
Isiala Ngwa North,U5,"(1, 0, 0)","(1, 0, 0, 12)",913.6387446220671,840.1653026031139,13.529231925976068,109.48609753957365,ok
Isiala Ngwa North,A5,"(0, 1, 1)","(0, 1, 1, 12)",3526.688555382608,3184.1666666666665,14.328570892863839,1030.4548340019946,ok
Isiala Ngwa North,A5,"(1, 1, 0)","(0, 1, 1, 12)",3526.688555382608,3184.1666666666665,14.328570892863839,1233.1850072414234,ok
Isiala Ngwa North,A5,"(1, 1, 1)","(0, 1, 1, 12)",3526.688555382608,3184.1666666666665,14.328570892863839,985.0749348699314,ok
Isiala Ngwa North,A5,"(0, 1, 1)","(1, 0, 0, 12)",3526.6776541577883,3184.155164937301,14.328519135728659,121.44470007317958,ok
Isiala Ngwa North,A5,"(1, 0, 1)","(1, 0, 0, 12)",2940.4758272945237,2554.794279437583,11.496430552087222,123.31178596386907,ok
Isiala Ngwa North,A5,"(1, 0, 0)","(1, 0, 0, 12)",2936.891152667184,2550.4074287687595,11.476689970834782,121.31368390635639,ok
Isiala Ngwa South,PW,"(0, 1, 1)","(0, 1, 1, 12)",1315.5815117683019,1296.0630899895891,10.10181675751823,1090.4871715871927,ok
Isiala Ngwa South,PW,"(1, 1, 0)","(0, 1, 1, 12)",1315.5842766924088,1296.0687572753666,10.10186092965991,1097.5676790480875,ok
Isiala Ngwa South,PW,"(1, 1, 1)","(0, 1, 1, 12)",1315.5907738472401,1296.0749269400749,10.101909017459663,1062.8287064656065,ok
Isiala Ngwa South,PW,"(0, 1, 1)","(1, 0, 0, 12)",1315.5843477978644,1296.0700819056835,10.10187125413627,107.10376703209838,ok
Isiala Ngwa South,PW,"(1, 0, 1)","(1, 0, 0, 12)",648.3951064038541,582.7422466993817,4.542028423221993,108.73517687101192,ok
Isiala Ngwa South,PW,"(1, 0, 0)","(1, 0, 0, 12)",1079.7710475142674,1056.5583259853795,8.235060997547775,123.8089075544362,ok
Isiala Ngwa South,U5,"(0, 1, 1)","(0, 1, 1, 12)",378.6151214351199,370.47265262826755,9.493213392140104,1086.5897477270487,ok
Isiala Ngwa South,U5,"(1, 1, 0)","(0, 1, 1, 12)",378.6361624462629,370.4968113846781,9.493832450600335,1156.6497189472925,ok
Isiala Ngwa South,U5,"(1, 1, 1)","(0, 1, 1, 12)",378.6320476033367,370.4916185149372,9.49369938539237,1064.5473355587546,ok
Isiala Ngwa South,U5,"(0, 1, 1)","(1, 0, 0, 12)",378.6388852695039,370.4993695248125,9.49389800191704,95.54876542519924,ok
Isiala Ngwa South,U5,"(1, 0, 1)","(1, 0, 0, 12)",173.27369443465497,144.6773951874071,3.7073003251097267,96.35613945598209,ok
Isiala Ngwa South,U5,"(1, 0, 0)","(1, 0, 0, 12)",295.65118523909587,285.33532832190417,7.311603544443413,114.44864413112388,ok
Isiala Ngwa South,A5,"(0, 1, 1)","(0, 1, 1, 12)",1234.1542867209205,1213.9026927211912,11.34223492381398,1092.5550757205278,ok
Isiala Ngwa South,A5,"(1, 1, 0)","(0, 1, 1, 12)",1234.1245686027078,1213.8789098105478,11.342012705541208,1129.2551390029203,ok
Isiala Ngwa South,A5,"(1, 1, 1)","(0, 1, 1, 12)",1234.1380293423283,1213.8910159463228,11.342125820568304,1175.6497160902563,ok
